County Name, FIPS code, Seat, Population, Area, Population Density
Berkeley, 003, Martinsburg, 122076, 321, 380.30
Hancock, 029, New Cumberland, 29095, 83, 350.54
Cabell, 011, Huntington, 94350, 282, 334.57
Monongalia, 061, Morgantown, 105822, 361, 293.14
Jefferson, 037, Charles Town, 57701, 210, 274.77
Wood, 107, Parkersburg, 84296, 367, 229.69
Kanawha, 039, Charleston, 180745, 903, 200.16
Marion, 049, Fairmont, 56205, 310, 181.31
Putnam, 079, Winfield, 57440, 346, 166.01
Harrison, 033, Clarksburg, 65291, 416, 156.95
Mercer, 055, Princeton, 59664, 420, 142.06
Raleigh, 081, Beckley, 74591, 607, 122.88
Marshall, 051, Moundsville, 30591, 307, 99.64
Taylor, 091, Grafton, 16705, 173, 96.56
Mineral, 057, Keyser, 26938, 328, 82.13
Wayne, 099, Wayne, 38982, 506, 77.04
Morgan, 065, Berkeley Springs, 17063, 229, 74.51
Logan, 045, Logan, 32567, 454, 71.73
Upshur, 097, Buckhannon, 23816, 355, 67.09
Fayette, 019, Fayetteville, 40488, 664, 60.98
Jackson, 035, Ripley, 27791, 466, 59.64
Mason, 053, Point Pleasant, 25453, 432, 58.92
Pleasants, 073, Saint Marys, 7653, 131, 58.42
Mingo, 059, Williamson, 23568, 423, 55.72
Preston, 077, Kingwood, 34216, 648, 52.80
Lincoln, 043, Hamlin, 20463, 438, 46.72
Barbour, 001, Philippi, 15465, 341, 45.35
Lewis, 041, Weston, 17033, 389, 43.79
Boone, 005, Madison, 21809, 503, 43.36
Wyoming, 109, Pineville, 21382, 501, 42.68
Wetzel, 103, New Martinsville, 14442, 359, 40.23
Nicholas, 067, Summersville, 24604, 649, 37.91
Hampshire, 027, Romney, 23093, 642, 35.97
McDowell, 047, Welch, 19111, 535, 35.72
Summers, 089, Hinton, 11959, 361, 33.13
Greenbrier, 025, Lewisburg, 32977, 1021, 32.30
Tyler, 095, Middlebourne, 8313, 258, 32.22
Roane, 087, Spencer, 14028, 484, 28.98
Randolph, 083, Elkins, 27932, 1040, 26.86
Monroe, 063, Union, 12376, 473, 26.16
Hardy, 031, Moorefield, 14299, 583, 24.53
Doddridge, 017, West Union, 7808, 320, 24.40
Braxton, 007, Sutton, 12447, 514, 24.22
Clay, 015, Clay, 8051, 342, 23.54
Grant, 023, Petersburg, 10976, 477, 23.01
Wirt, 105, Elizabeth, 5194, 233, 22.29
Calhoun, 013, Grantsville, 6229, 281, 22.17
Gilmer, 021, Glenville, 7408, 340, 21.79
Ritchie, 085, Harrisville, 8444, 454, 18.60
Tucker, 093, Parsons, 6762, 419, 16.14
Webster, 101, Webster Springs, 8378, 556, 15.07
Pendleton, 071, Franklin, 6143, 698, 8.80
Pocahontas, 075, Marlinton, 7869, 940, 8.37
